param_n_estimators,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
500,sqrt,5,0.7474358974358974,0.016120233650256326,1
500,log2,5,0.7474358974358974,0.016120233650256326,1
500,log2,,0.7426923076923077,0.04208878877678603,3
500,sqrt,,0.7426923076923077,0.04208878877678603,3
1000,sqrt,10,0.7376923076923078,0.04525913407943182,5
1000,log2,10,0.7376923076923078,0.04525913407943182,5
1000,log2,,0.7326923076923076,0.05025248545637383,7
1000,sqrt,,0.7326923076923076,0.05025248545637383,7
1000,sqrt,5,0.7325641025641026,0.03909184384363742,9
1000,log2,5,0.7325641025641026,0.03909184384363742,9
100,sqrt,5,0.7274358974358974,0.027519044866687378,11
100,log2,5,0.7274358974358974,0.027519044866687378,11
500,log2,10,0.7224358974358974,0.029910561397326223,13
500,sqrt,10,0.7224358974358974,0.029910561397326223,13
100,sqrt,10,0.7220512820512821,0.04656088320509955,15
100,log2,10,0.7220512820512821,0.04656088320509955,15
100,log2,,0.7023076923076923,0.03485812326268369,17
100,sqrt,,0.7023076923076923,0.03485812326268369,17
